Lot,Wafer,Group,PunchSeq,Week,Day,Shift,Worker,Stepper,Conductivity,Strength,Purity,Precision,Temperature,Humidity,Pollution,Width,Thickness,Noise,M-Q I/O,Mac#ACD,M_Logic,Signal_A,Signal_B,Date/Time,Die_X,Die_Y,Unit_id
1,1,1,1,1,Monday,AM,1,3,96.79949951,0.938000023,90.45269775,47.93579865,62.98400116,27.54999924,29.97999954,10.76130009,1.805899978,60.04570007,1.668099999,1.404600024,45.16740036,505.4729919,1023.52124,3/9/98 7:56,1,4,85
1,1,2,2,1,Monday,AM,2,1,98.29879761,0.935000002,90.61889648,51.62749863,60.05899811,28.24200058,28.29999924,10.60350037,1.845199943,54.71569824,1.673200011,2.352600098,55.01610184,506.3120117,1045.140503,3/9/98 7:59,1,5,40
1,1,3,4,1,Monday,AM,3,3,98.33599854,0.953000009,90.70510101,47.65280151,64.74299622,28.36700058,27.13999939,10.51690006,1.864300013,54.82369995,1.692899942,3.011600018,65.94869995,503.1712952,1046.524292,3/9/98 8:00,1,6,4
1,1,4,5,1,Monday,AM,4,1,97.40219879,0.958999991,90.58519745,51.06100082,63.67699814,28.375,28.95999908,10.69620037,1.863000035,54.0707016,1.651200056,4.894299984,75.73719788,501.8581848,987.34729,3/9/98 8:02,1,7,47
1,1,5,6,1,Monday,AM,1,3,96.6753006,0.944000006,90.47070313,49.62020111,63.3409996,27.60000038,29.77000046,10.76259995,1.827100039,57.50469971,1.662199974,1.677600026,45.8871994,505.1448059,997.0247192,3/9/98 8:02,1,8,23
1,1,1,29,1,Monday,AM,2,2,94.53530121,0.952000022,90.4885025,48.1106987,64.68000031,27.17300034,29,10.76270008,1.826200008,58.39369965,1.659800053,2.843400002,55.5135994,507.5256042,1010.060852,3/9/98 8:05,2,3,60
1,1,2,30,1,Monday,AM,3,4,95.02700043,0.950999975,90.62039948,51.54809952,65.14800262,28.07099915,28.07999992,10.64089966,1.832000017,57.16270065,1.655300021,3.851999998,65.22039795,500.8551025,971.486084,3/9/98 8:05,2,4,49
1,1,3,31,1,Monday,AM,4,2,96.86799622,0.949999988,90.71070099,51.08069992,62.54899979,28.66500092,27.39999962,10.57759953,1.886100054,58.82569885,1.652099967,4.586500168,75.02210236,504.4173889,951.0323486,3/9/98 8:06,2,5,3
1,1,4,32,1,Monday,AM,1,4,97.78730011,0.952000022,90.81430054,50.70859909,62.08800125,28.84399986,26.02000046,10.43589973,1.887699962,59.04069901,1.667999983,1.749199986,45.72460175,500.7536926,972.7105713,3/9/98 8:07,2,6,92
1,1,5,33,1,Monday,AM,2,2,97.47949982,0.952000022,90.7039032,47.96300125,62.98899841,28.3010006,27.07999992,10.52569962,1.859899998,57.39369965,1.654500008,2.130000114,55.55130005,507.0306091,1033.413696,3/9/98 8:10,2,7,74
1,2,6,34,1,Monday,AM,3,4,95.25550079,0.950999975,90.62480164,49.91270065,63.51599884,28.27499962,28.25,10.66049957,1.842700005,60.16270065,1.656399965,3.118400097,65.62670135,505.9154968,958.6960449,3/9/98 8:14,2,8,76
1,2,7,7,1,Monday,AM,4,2,94.32039642,0.944999993,90.46890259,50.56259918,64.15299988,27.44799995,29.62000084,10.71259975,1.812999964,54.90869904,1.689900041,4.398600101,75.28720093,507.7029114,978.3830566,3/9/98 8:17,2,9,64
1,2,1,28,1,Monday,AM,1,3,94.12339783,0.940999985,90.48840332,49.3708992,63.43299866,27.6779995,29.60000038,10.72929955,1.819599986,58.77170181,1.679999948,1.37349999,45.94620132,502.572998,1048.158691,3/9/98 8:17,3,2,36
1,2,2,53,1,Monday,AM,2,1,94.06729889,0.952000022,90.59649658,51.8022995,62.50999832,28.47900009,28.90999985,10.63199997,1.835100055,61.40470123,1.690299988,2.100399971,55.03340149,500.2799988,1030.470825,3/9/98 8:18,3,3,27
1,2,3,54,1,Monday,AM,3,3,95.29920197,0.957000017,90.71430206,51.24409866,63.99599838,28.86100006,27.56999969,10.52340031,1.878299952,54.44169998,1.653100014,3.931699991,65.24189758,509.4494019,953.2834473,3/9/98 8:19,3,4,53
1,2,1,1,1,Monday,PM,2,3,96.52590179,0.93900001,90.46299744,47.61859894,60.81600189,27.66500092,29.95999908,10.78199959,1.807899952,51.9817009,1.691699982,2.073999882,55.29119873,509.1824036,885.7199097,3/9/98 12:00,1,4,57
1,2,2,2,1,Monday,PM,3,1,97.959198,0.944999993,90.63169861,48.74840164,61.44800186,28.20100021,28.05999947,10.63290024,1.849099994,59.6067009,1.651200056,3.617300034,65.707901,506.8594055,1002.264893,3/9/98 12:00,1,5,45
1,2,3,4,1,Monday,PM,4,3,97.72180176,0.95599997,90.73600006,48.05469894,62.65599823,28.87800026,27.26000023,10.57559967,1.884299994,57.7507019,1.676800013,4.390900135,75.7888031,509.5791016,1048.571411,3/9/98 12:04,1,6,73
1,2,4,5,1,Monday,PM,1,1,97.57810211,0.940999985,90.59279633,49.25270081,61.65800095,28.39599991,28.87000084,10.61229992,1.834599972,61.70470047,1.673300028,1.524299979,45.83720016,505.4194946,961.6651001,3/9/98 12:08,1,7,61
1,2,5,6,1,Monday,PM,2,3,96.58390045,0.935000002,90.47280121,49.3022995,60.47600174,27.71999931,29.87999916,10.72809982,1.801300049,61.26470184,1.667299986,2.442899942,55.42250061,504.7774048,836.0720825,3/9/98 12:10,1,8,43
1,2,1,29,1,Monday,PM,3,2,93.78029633,0.944999993,90.4611969,48.43650055,64.2990036,27.45299911,29.73999977,10.79459953,1.822199941,60.28170013,1.666900039,3.729899883,65.50959778,502.5364075,978.9021606,3/9/98 12:12,2,3,41
1,2,2,30,1,Monday,PM,4,4,94.81980133,0.957000017,90.5746994,49.21889877,64.53099823,28.09900093,28.79999924,10.67590046,1.856999993,51.90169907,1.672899961,4.986000061,75.74389648,500.5718994,969.0183105,3/9/98 12:16,2,4,87
1,2,3,31,1,Monday,PM,1,2,97.4382019,0.952000022,90.68830109,49.80099869,63.25500107,28.09799957,27.07999992,10.53120041,1.860800028,59.3757019,1.68599999,1.621500015,45.4756012,505.0646057,997.2649536,3/9/98 12:17,2,5,35
1,2,4,32,1,Monday,PM,2,4,96.61889648,0.964999974,90.79149628,49.17910004,64.31300354,29.02499962,26.57999992,10.47609997,1.91079998,55.53969955,1.66900003,2.325999975,55.42419815,501.4010925,1048.130371,3/9/98 12:21,2,6,90
1,2,5,33,1,Monday,PM,3,2,97.34549713,0.949999988,90.65989685,48.84970093,62.55899811,28.14699936,27.56999969,10.57759953,1.887699962,61.38270187,1.657500029,3.514499903,65.20400238,504.9375916,950.517395,3/9/98 12:23,2,7,8
1,2,6,34,1,Monday,PM,4,4,95.38819885,0.948000014,90.58809662,49.8492012,61.07600021,28.16900063,28.68000031,10.67010021,1.854300022,59.22470093,1.699200034,4.036399841,75.39980316,509.2940063,1038.531982,3/9/98 12:26,2,8,98
1,2,7,7,1,Monday,PM,1,2,94.88200378,0.940999985,90.44920349,49.17430115,62.01100159,27.08300018,29.47999954,10.79500008,1.826599956,52.39569855,1.686800003,1.128600001,45.81019974,501.5971985,990.2912598,3/9/98 12:29,2,9,46
1,2,1,28,1,Monday,PM,2,3,93.87550354,0.943000019,90.51599884,49.8030014,63.61700058,27.65500069,29.15999985,10.73169994,1.799100041,59.86370087,1.651299953,2.353300095,55.59529877,503.9386902,852.49646,3/9/98 12:29,3,2,94
1,2,2,53,1,Monday,PM,3,1,94.69039917,0.950999975,90.59300232,49.24100113,62.16500092,27.88899994,28.28000069,10.6928997,1.861299992,55.27370071,1.677000046,3.92140007,65.95379639,504.2329102,995.5876465,3/9/98 12:34,3,3,12
1,2,3,54,1,Monday,PM,4,3,95.48249817,0.94599998,90.72579956,48.43759918,62.45299911,28.78700066,27.30999947,10.51799965,1.860100031,61.6067009,1.675400019,4.242400169,75.00540161,502.2749939,801.0216064,3/9/98 12:37,3,4,31